gross_margin,net_margin,revenue_growth,cost_growth,current_ratio,debt_to_equity,opex_ratio,ebit_margin,asset_turnover,negative_equity,size_bucket_large,size_bucket_micro,size_bucket_mid,size_bucket_small,profit_regime_breakeven,profit_regime_loss,profit_regime_profitable,leverage_tier_high,leverage_tier_low,leverage_tier_med,growth_stage_high_growth,growth_stage_shrinking,growth_stage_stable
0.5634858,0.26238832,-0.07413722,-0.10884311,8.994673,0.11239169,0.28641394,0.27707183,0.77507573,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.14139259,0.006193142,-0.1058691,-0.04845267,1.6904923,0.7809289,0.13226032,0.00913226,1.7172384,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
-0.4240042,-4.97956,-0.6445033,-0.2131384,0.97358054,3.3923426,2.8637316,-3.287736,0.035767175,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.16177283,0.046052303,-0.5666416,-0.46356434,1.4779953,0.71083206,0.26710334,-0.10533052,0.09302141,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.37796018,0.24851014,0.68288004,0.8599214,0.5507179,20.489004,0.09777526,0.28018492,0.02622636,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.7396773,-0.32706562,0.16053043,0.10768045,2.87214,0.47134718,1.0812751,-0.34159777,0.6370629,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.4467662,-0.13633578,0.030831153,0.062360454,0.6597711,0.6140524,0.52541465,-0.07864844,0.5531686,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.86735946,-12.511003,-0.3643272,-0.10797645,2.3606381,1.1518607,7.493073,-6.6257133,0.12547636,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.38173777,-0.008055655,-0.049611274,-0.016786588,1.8714926,1.8421334,0.36584184,0.015895937,1.4373533,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.18837221,-0.018472964,0.084426664,0.049367573,2.5922732,0.67594284,0.19014618,-0.0017739723,0.66762996,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.15464285,0.022645056,0.15390457,0.13408726,1.7275116,2.7682974,0.10943674,0.045206107,2.7669091,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.5468672,-0.2594126,0.042945407,-0.037791062,0.7799921,18.67849,0.43082684,0.11604037,0.46258974,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.55727,0.113266885,0.1482044,0.09729241,1.0555613,0.7503183,0.39784792,0.1594221,0.18824682,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
